ocr_leyo,excel_matcheo,precio_insertado,similitud_%
131313,1311313,"$1,830",92
131482,1311482,"$2,260",92
131288,1311288,$750,92
134220,1134220,"$1,830",92
131282,1311282,"$1,200",92
131437,1311437,"$2,310",92
187117,1187117,"$2,500",92
131443,1311443,"$2,950",92
131537,1311537,"$1,830",92
131280,1311280,$450,92
131151,1311517,"$3,410",92
131497,1311497,"$1,350",92
21312400,1312400,$700,93
189075,1189075,"$1,650",92
11312848,1312848,"$2,070",93
131841,1318413,"$1,650",92
11262318,1262318,"$1,200",93
189083,1189083,"$1,690",92
11284643,1284643,"$1,830",93
11312372,1312372,$900,93
11312422,1312422,"$1,830",93
1284958,1285498,"$1,930",86
1284958,1285498,"$1,930",86
186082,1186082,"$1,600",92
01310546,1310546,"$1,300",93
116871,1116871,"$1,350",92
135754,1135754,"$2,170",92
171989,1171989,"$1,350",92
131531,1311531,"$2,600",92
1285335,1285035,"$1,300",86
12854034,1285403,"$1,600",93
1046424,1104642,$650,86
146534,1146534,"$2,410",92
125077,1285077,"$1,600",92
112081,1112081,"$2,310",92
114139,1149139,"$1,830",92
1186280,1286280,$650,86
11286280,1286280,$650,93
129759,1297549,"$1,600",92
141498,1141498,$840,92
11312560,1312560,$580,93
108171,1308171,"$1,350",92
1265171,1265170,"$1,690",86
127171,1271711,"$1,450",92
129827,1298327,"$1,200",92
184095,1184095,"$1,350",92
106915,1106915,"$1,710",92
186783,1186783,"$1,600",92
136849,1136849,"$1,600",92
186785,1186785,"$1,600",92
1136852,1136855,"$1,850",86
186788,1186788,"$2,310",92
51832889,832889,$210,86
11071125,1071125,$180,93
131514,1311514,"$1,780",92
1018728,1187128,"$1,930",86
1887128,1187128,"$1,930",86
11311330,1311330,"$1,690",93
131324,1315324,"$2,070",92
131547,1310547,"$1,400",92
147108,1147108,"$2,170",92
140080,1140080,"$1,780",92
131334,1311334,$750,92
1318378,1318374,$900,86
1131842,1318412,"$1,930",86
1284669,1284649,"$1,830",86
131071,1311071,"$1,100",92
197208,1197208,$870,92
131082,1310827,"$1,400",92
131080,1310980,"$1,350",92
127657,1276573,"$1,450",92
172023,1172023,$450,92
131571,1315741,"$2,740",92
1518405,1184095,"$1,350",86
11297674,1297674,$840,93
1315290,1311290,$700,86
144313,1144313,"$1,880",92
131085,1310985,"$2,260",92
11297178,1297178,"$1,930",93
11286253,1286253,"$2,500",93
11286251,1286251,"$3,020",93
1265171,1265170,"$1,690",86
11276585,1276585,"$1,350",93
89693,896913,"$3,460",91
129831,1298381,"$2,560",92
131488,1314188,"$2,070",92
131457,1311457,"$2,260",92
189122,1189122,"$1,200",92
172009,1172009,"$1,350",92
131487,1314187,"$1,070",92
131788,1311788,"$1,200",92
131787,1311787,"$1,400",92
